age,gender,race,educ,urban,region,income,occup1,union,religion,vote,presvote
38,male,White,HighSchool,central,north central,68-95 %ile,professional,yes,catholic,yes,democrat
43,female,White,CollegeDegree,suburban,south,96-100 %ile,professional,no,other,yes,democrat
45,male,White,CollegeDegree,rural,south,68-95 %ile,farmers,no,protestant,yes,other
53,female,Hispanic,GradeSchool,rural,south,34-67 %ile,skilled,no,protestant,no,NA
37,female,White,CollegeDegree,central,south,68-95 %ile,professional,no,other,yes,democrat
32,female,White,CollegeDegree,suburban,south,68-95 %ile,homemakers,no,protestant,yes,republican
23,female,White,HighSchool,suburban,south,17-33 %ile,clerical,no,protestant,no,NA
29,female,White,HighSchool,rural,north central,0-16 %ile,professional,no,protestant,no,NA
34,male,Hispanic,SomeCollege,central,northeast,34-67 %ile,clerical,no,catholic,yes,democrat
65,male,White,HighSchool,suburban,north central,68-95 %ile,skilled,yes,protestant,yes,democrat
44,female,White,HighSchool,central,north central,68-95 %ile,laborer,yes,protestant,yes,democrat
43,female,White,HighSchool,suburban,north central,0-16 %ile,skilled,no,protestant,no,NA
36,female,White,CollegeDegree,suburban,northeast,68-95 %ile,skilled,yes,catholic,yes,republican
81,male,White,HighSchool,suburban,northeast,34-67 %ile,skilled,no,catholic,yes,republican
23,female,White,CollegeDegree,suburban,south,96-100 %ile,professional,no,catholic,yes,democrat
40,male,White,CollegeDegree,suburban,northeast,68-95 %ile,clerical,no,catholic,yes,other
36,male,White,SomeCollege,suburban,northeast,17-33 %ile,skilled,no,catholic,yes,democrat
39,female,White,CollegeDegree,suburban,northeast,68-95 %ile,professional,yes,catholic,yes,other
31,male,White,SomeCollege,suburban,northeast,34-67 %ile,clerical,no,protestant,yes,other
36,male,White,HighSchool,suburban,northeast,68-95 %ile,skilled,no,catholic,no,NA
18,female,Hispanic,HighSchool,suburban,north central,34-67 %ile,professional,no,catholic,yes,republican
63,female,White,HighSchool,rural,north central,0-16 %ile,clerical,no,protestant,yes,democrat
52,female,White,HighSchool,suburban,west,68-95 %ile,clerical,no,protestant,yes,republican
54,female,Hispanic,CollegeDegree,rural,south,68-95 %ile,professional,no,catholic,yes,republican
38,female,Hispanic,HighSchool,central,west,0-16 %ile,skilled,no,catholic,no,NA
52,female,White,HighSchool,rural,south,68-95 %ile,clerical,no,protestant,yes,republican
74,female,White,CollegeDegree,suburban,north central,17-33 %ile,professional,no,protestant,yes,republican
75,female,White,GradeSchool,central,north central,68-95 %ile,skilled,no,catholic,yes,democrat
67,female,White,GradeSchool,rural,south,17-33 %ile,skilled,no,protestant,yes,democrat
21,female,White,SomeCollege,central,south,34-67 %ile,skilled,no,catholic,yes,other
29,male,White,CollegeDegree,central,south,34-67 %ile,skilled,no,catholic,yes,republican
35,male,White,HighSchool,rural,north central,96-100 %ile,laborer,yes,protestant,yes,republican
33,female,Black,HighSchool,central,south,34-67 %ile,skilled,no,protestant,yes,democrat
83,female,Black,GradeSchool,rural,south,34-67 %ile,skilled,no,protestant,yes,democrat
57,male,Asian,CollegeDegree,rural,south,68-95 %ile,professional,no,other,yes,democrat
87,female,White,SomeCollege,suburban,south,68-95 %ile,homemakers,no,protestant,yes,republican
31,female,White,HighSchool,rural,northeast,68-95 %ile,skilled,yes,protestant,yes,democrat
37,female,White,SomeCollege,suburban,south,34-67 %ile,clerical,no,protestant,yes,republican
52,male,White,SomeCollege,central,south,34-67 %ile,skilled,yes,other,yes,other
38,female,White,CollegeDegree,suburban,south,68-95 %ile,homemakers,no,protestant,yes,republican
69,male,White,CollegeDegree,suburban,south,96-100 %ile,clerical,no,other,yes,republican
57,male,NativeAmerican,SomeCollege,central,west,17-33 %ile,clerical,no,other,yes,democrat
51,male,White,GradeSchool,rural,northeast,34-67 %ile,skilled,no,protestant,no,NA
35,male,White,SomeCollege,rural,northeast,68-95 %ile,skilled,no,protestant,yes,democrat
49,male,White,SomeCollege,rural,northeast,68-95 %ile,skilled,no,catholic,yes,republican
25,male,White,SomeCollege,rural,south,17-33 %ile,skilled,no,protestant,yes,other
82,female,White,HighSchool,suburban,northeast,0-16 %ile,clerical,no,protestant,yes,republican
36,male,Black,HighSchool,rural,south,0-16 %ile,laborer,no,protestant,no,NA
43,male,White,CollegeDegree,suburban,south,96-100 %ile,professional,no,protestant,yes,democrat
56,male,Asian,CollegeDegree,central,north central,34-67 %ile,professional,no,catholic,yes,republican
70,male,White,SomeCollege,central,north central,17-33 %ile,clerical,no,catholic,yes,republican
38,male,White,SomeCollege,central,south,34-67 %ile,clerical,no,catholic,yes,other
33,female,White,HighSchool,rural,south,68-95 %ile,skilled,no,protestant,yes,republican
37,male,White,CollegeDegree,rural,north central,34-67 %ile,professional,no,catholic,yes,republican
34,female,NativeAmerican,CollegeDegree,suburban,south,0-16 %ile,professional,no,protestant,yes,democrat
78,female,White,SomeCollege,suburban,south,68-95 %ile,homemakers,no,protestant,yes,republican
38,female,White,HighSchool,suburban,north central,0-16 %ile,skilled,no,protestant,yes,democrat
45,female,Hispanic,SomeCollege,central,west,34-67 %ile,professional,no,catholic,yes,democrat
28,female,White,SomeCollege,suburban,west,68-95 %ile,skilled,no,other,yes,democrat
80,female,Black,HighSchool,suburban,northeast,17-33 %ile,skilled,no,protestant,yes,democrat
65,female,White,GradeSchool,suburban,north central,34-67 %ile,skilled,no,catholic,yes,republican
44,male,White,CollegeDegree,suburban,north central,68-95 %ile,professional,no,other,yes,other
34,male,Black,SomeCollege,central,northeast,34-67 %ile,clerical,yes,protestant,yes,republican
70,female,White,SomeCollege,suburban,west,17-33 %ile,clerical,no,protestant,yes,democrat
36,male,White,CollegeDegree,central,west,34-67 %ile,clerical,no,protestant,yes,republican
33,male,White,CollegeDegree,rural,south,34-67 %ile,professional,no,protestant,yes,republican
54,female,White,CollegeDegree,suburban,south,68-95 %ile,professional,yes,protestant,yes,democrat
45,female,Black,HighSchool,rural,south,0-16 %ile,skilled,no,protestant,yes,democrat
25,female,White,HighSchool,central,north central,0-16 %ile,skilled,no,protestant,yes,democrat
39,female,White,SomeCollege,central,south,0-16 %ile,skilled,no,protestant,yes,republican
38,male,White,HighSchool,central,north central,34-67 %ile,skilled,yes,other,no,NA
51,male,White,CollegeDegree,suburban,south,68-95 %ile,skilled,no,protestant,yes,republican
23,male,Black,SomeCollege,suburban,south,68-95 %ile,clerical,no,protestant,yes,other
43,female,White,HighSchool,suburban,south,34-67 %ile,skilled,no,other,yes,democrat
45,female,White,HighSchool,suburban,northeast,96-100 %ile,clerical,no,catholic,yes,democrat
72,female,White,CollegeDegree,suburban,northeast,0-16 %ile,professional,no,catholic,yes,democrat
34,male,Black,CollegeDegree,central,north central,34-67 %ile,skilled,no,catholic,yes,democrat
39,male,White,HighSchool,central,northeast,0-16 %ile,skilled,no,catholic,yes,democrat
47,male,White,HighSchool,suburban,north central,68-95 %ile,skilled,yes,protestant,yes,democrat
51,male,White,SomeCollege,suburban,north central,68-95 %ile,clerical,no,catholic,yes,republican
22,female,Black,HighSchool,central,south,0-16 %ile,clerical,no,protestant,no,NA
57,female,Hispanic,GradeSchool,suburban,south,17-33 %ile,skilled,no,catholic,yes,democrat
46,female,Asian,CollegeDegree,suburban,south,68-95 %ile,skilled,no,protestant,yes,republican
68,female,White,GradeSchool,suburban,south,17-33 %ile,skilled,no,protestant,yes,republican
31,female,White,CollegeDegree,central,west,68-95 %ile,skilled,no,protestant,yes,republican
53,male,Black,HighSchool,central,north central,34-67 %ile,skilled,no,protestant,no,NA
40,male,Black,SomeCollege,central,south,34-67 %ile,skilled,no,catholic,yes,democrat
18,female,Hispanic,SomeCollege,central,northeast,0-16 %ile,clerical,no,catholic,yes,democrat
21,male,Black,CollegeDegree,central,northeast,34-67 %ile,clerical,no,other,yes,democrat
50,male,White,CollegeDegree,suburban,northeast,68-95 %ile,professional,no,catholic,yes,republican
44,male,Hispanic,SomeCollege,suburban,north central,68-95 %ile,skilled,yes,catholic,no,NA
38,female,White,SomeCollege,suburban,northeast,68-95 %ile,homemakers,no,protestant,yes,republican
35,male,White,SomeCollege,suburban,northeast,68-95 %ile,clerical,no,other,no,NA
28,male,White,HighSchool,central,north central,17-33 %ile,clerical,no,other,yes,democrat
72,male,White,CollegeDegree,rural,north central,17-33 %ile,professional,no,protestant,yes,republican
34,male,White,SomeCollege,rural,north central,34-67 %ile,skilled,no,protestant,yes,republican
44,male,White,HighSchool,suburban,north central,68-95 %ile,skilled,yes,catholic,yes,democrat
45,male,White,SomeCollege,suburban,north central,68-95 %ile,skilled,yes,other,yes,democrat
32,male,White,SomeCollege,suburban,north central,34-67 %ile,skilled,no,catholic,yes,republican
19,male,White,HighSchool,suburban,south,34-67 %ile,clerical,no,protestant,no,NA
52,female,White,CollegeDegree,central,west,96-100 %ile,homemakers,no,other,yes,democrat
18,male,White,HighSchool,suburban,west,68-95 %ile,skilled,yes,other,yes,other
37,female,Asian,CollegeDegree,suburban,west,68-95 %ile,professional,no,catholic,yes,republican
28,male,White,HighSchool,central,west,34-67 %ile,skilled,no,protestant,yes,other
34,male,White,HighSchool,central,west,68-95 %ile,clerical,no,other,yes,republican
43,female,White,HighSchool,rural,northeast,34-67 %ile,clerical,yes,catholic,yes,democrat
44,female,White,HighSchool,rural,north central,34-67 %ile,skilled,no,protestant,yes,democrat
49,female,White,HighSchool,rural,north central,17-33 %ile,skilled,no,protestant,yes,democrat
33,male,White,HighSchool,rural,north central,34-67 %ile,skilled,no,catholic,yes,other
26,female,White,HighSchool,rural,north central,34-67 %ile,skilled,yes,protestant,yes,democrat
19,male,White,SomeCollege,rural,south,0-16 %ile,professional,no,protestant,yes,democrat
20,female,White,SomeCollege,rural,south,0-16 %ile,clerical,no,protestant,yes,republican
19,male,White,SomeCollege,rural,south,0-16 %ile,professional,no,protestant,no,NA
30,female,White,HighSchool,rural,south,68-95 %ile,clerical,no,protestant,yes,republican
49,male,White,SomeCollege,rural,south,68-95 %ile,skilled,yes,protestant,yes,republican
79,female,Black,GradeSchool,rural,south,34-67 %ile,skilled,no,protestant,yes,democrat
79,female,Black,HighSchool,rural,south,17-33 %ile,homemakers,no,protestant,yes,democrat
82,female,NativeAmerican,GradeSchool,rural,west,17-33 %ile,homemakers,no,protestant,yes,democrat
37,female,White,CollegeDegree,central,south,34-67 %ile,professional,no,protestant,yes,other
58,male,White,HighSchool,rural,north central,68-95 %ile,skilled,yes,protestant,yes,other
38,male,White,HighSchool,rural,north central,34-67 %ile,skilled,yes,protestant,yes,republican
34,female,White,SomeCollege,central,west,96-100 %ile,clerical,no,protestant,yes,republican
57,male,White,CollegeDegree,suburban,north central,68-95 %ile,professional,no,protestant,yes,republican
45,female,White,HighSchool,suburban,south,34-67 %ile,clerical,no,protestant,yes,other
69,male,White,HighSchool,suburban,south,17-33 %ile,skilled,yes,protestant,yes,republican
25,male,Black,CollegeDegree,suburban,south,34-67 %ile,professional,no,protestant,yes,republican
79,male,White,HighSchool,central,west,17-33 %ile,skilled,no,protestant,yes,republican
70,female,White,HighSchool,rural,west,34-67 %ile,skilled,no,other,yes,other
34,male,White,CollegeDegree,rural,west,68-95 %ile,farmers,no,other,yes,republican
49,female,White,HighSchool,rural,south,68-95 %ile,clerical,no,protestant,yes,democrat
65,female,White,HighSchool,central,south,0-16 %ile,professional,no,catholic,yes,democrat
26,male,White,CollegeDegree,central,south,68-95 %ile,professional,no,other,no,NA
40,female,Black,SomeCollege,suburban,northeast,34-67 %ile,clerical,no,protestant,yes,democrat
66,female,White,HighSchool,suburban,northeast,68-95 %ile,clerical,no,other,yes,democrat
68,female,White,CollegeDegree,suburban,northeast,96-100 %ile,clerical,no,catholic,yes,republican
22,male,White,GradeSchool,central,south,34-67 %ile,clerical,no,protestant,yes,republican
29,female,White,SomeCollege,suburban,south,17-33 %ile,clerical,no,other,yes,democrat
26,male,Black,HighSchool,suburban,south,34-67 %ile,clerical,no,protestant,yes,democrat
50,female,White,SomeCollege,suburban,west,34-67 %ile,homemakers,yes,protestant,yes,democrat
35,female,White,CollegeDegree,rural,south,34-67 %ile,professional,no,protestant,yes,republican
53,male,Black,CollegeDegree,central,northeast,34-67 %ile,skilled,yes,protestant,yes,democrat
71,female,White,CollegeDegree,central,west,68-95 %ile,professional,no,protestant,yes,republican
47,female,NativeAmerican,CollegeDegree,central,west,34-67 %ile,professional,yes,protestant,yes,republican
73,female,White,HighSchool,central,west,17-33 %ile,homemakers,no,protestant,yes,democrat
71,male,White,CollegeDegree,suburban,north central,68-95 %ile,clerical,no,protestant,yes,other
52,male,White,CollegeDegree,suburban,south,68-95 %ile,professional,no,catholic,yes,other
45,male,White,CollegeDegree,central,south,68-95 %ile,professional,no,other,yes,democrat
35,male,Asian,SomeCollege,central,west,17-33 %ile,farmers,no,other,yes,republican
40,male,NativeAmerican,CollegeDegree,central,west,34-67 %ile,professional,no,other,yes,democrat
32,male,Hispanic,HighSchool,central,west,17-33 %ile,skilled,no,protestant,yes,democrat
21,female,White,HighSchool,rural,north central,34-67 %ile,skilled,yes,catholic,yes,democrat
44,female,White,HighSchool,central,west,68-95 %ile,clerical,no,other,yes,other
33,female,White,CollegeDegree,suburban,north central,34-67 %ile,skilled,no,catholic,yes,democrat
28,female,White,HighSchool,central,west,68-95 %ile,clerical,no,catholic,yes,republican
31,female,Black,SomeCollege,central,west,68-95 %ile,professional,no,protestant,yes,democrat
52,female,White,HighSchool,rural,northeast,68-95 %ile,homemakers,no,catholic,yes,republican
45,female,White,SomeCollege,rural,north central,34-67 %ile,professional,no,protestant,no,NA
68,male,White,GradeSchool,rural,north central,0-16 %ile,skilled,no,other,yes,republican
71,male,White,GradeSchool,rural,north central,0-16 %ile,skilled,no,protestant,yes,democrat
42,female,NativeAmerican,CollegeDegree,rural,south,34-67 %ile,professional,no,protestant,yes,democrat
69,male,White,HighSchool,suburban,north central,34-67 %ile,skilled,no,catholic,yes,democrat
43,male,White,CollegeDegree,rural,south,68-95 %ile,professional,no,protestant,yes,republican
32,female,White,SomeCollege,suburban,west,68-95 %ile,homemakers,no,protestant,yes,republican
22,female,White,SomeCollege,rural,south,68-95 %ile,clerical,no,catholic,yes,other
29,female,White,CollegeDegree,suburban,south,96-100 %ile,clerical,no,protestant,yes,republican
47,male,Black,HighSchool,central,west,34-67 %ile,skilled,no,other,yes,democrat
51,male,White,CollegeDegree,central,west,68-95 %ile,professional,no,catholic,yes,republican
63,female,White,SomeCollege,suburban,west,17-33 %ile,homemakers,no,other,yes,republican
35,male,Black,CollegeDegree,suburban,north central,68-95 %ile,professional,no,protestant,yes,democrat
28,male,White,CollegeDegree,suburban,north central,68-95 %ile,clerical,no,protestant,yes,republican
46,female,White,HighSchool,suburban,north central,17-33 %ile,skilled,yes,other,yes,democrat
33,female,White,CollegeDegree,central,west,34-67 %ile,professional,no,protestant,no,NA
26,female,White,SomeCollege,central,west,68-95 %ile,homemakers,no,protestant,yes,republican
38,female,White,CollegeDegree,central,west,68-95 %ile,professional,no,catholic,yes,democrat
71,female,White,HighSchool,suburban,south,17-33 %ile,homemakers,no,catholic,yes,republican
34,female,Black,HighSchool,central,north central,0-16 %ile,homemakers,no,protestant,yes,democrat
47,female,White,CollegeDegree,suburban,north central,96-100 %ile,professional,no,catholic,yes,democrat
47,male,White,HighSchool,rural,northeast,34-67 %ile,skilled,yes,catholic,yes,democrat
79,female,White,GradeSchool,central,south,0-16 %ile,homemakers,no,catholic,yes,republican
30,male,White,SomeCollege,central,west,34-67 %ile,professional,no,protestant,yes,republican
40,female,White,CollegeDegree,central,northeast,96-100 %ile,professional,no,jewish,yes,democrat
70,female,White,HighSchool,central,west,0-16 %ile,skilled,no,protestant,yes,democrat
23,male,White,SomeCollege,rural,south,0-16 %ile,skilled,no,protestant,yes,democrat
30,male,White,SomeCollege,suburban,west,68-95 %ile,professional,no,catholic,yes,other
48,female,Black,SomeCollege,suburban,northeast,68-95 %ile,skilled,yes,protestant,yes,republican
55,male,White,CollegeDegree,suburban,north central,34-67 %ile,skilled,no,protestant,yes,republican
32,female,White,HighSchool,suburban,north central,68-95 %ile,skilled,no,other,yes,other
25,female,White,CollegeDegree,central,north central,34-67 %ile,professional,no,other,yes,democrat
68,male,White,CollegeDegree,suburban,north central,96-100 %ile,clerical,no,catholic,yes,republican
29,male,Black,CollegeDegree,suburban,northeast,68-95 %ile,professional,no,protestant,yes,democrat
32,male,White,CollegeDegree,suburban,northeast,34-67 %ile,professional,yes,protestant,yes,republican
84,female,Black,HighSchool,suburban,northeast,17-33 %ile,skilled,no,protestant,yes,democrat
32,female,White,CollegeDegree,rural,south,34-67 %ile,professional,no,protestant,yes,republican
42,male,White,CollegeDegree,rural,south,96-100 %ile,clerical,no,catholic,yes,republican
34,male,White,HighSchool,suburban,west,68-95 %ile,clerical,no,protestant,yes,democrat
53,female,White,HighSchool,suburban,northeast,68-95 %ile,homemakers,yes,protestant,yes,republican
55,female,Black,CollegeDegree,suburban,south,34-67 %ile,homemakers,no,protestant,yes,democrat
67,female,White,HighSchool,suburban,northeast,34-67 %ile,clerical,no,jewish,yes,democrat
34,female,NativeAmerican,SomeCollege,central,north central,34-67 %ile,clerical,no,protestant,no,NA
37,female,White,CollegeDegree,suburban,north central,68-95 %ile,clerical,no,catholic,yes,republican
46,male,White,CollegeDegree,suburban,south,68-95 %ile,professional,no,catholic,yes,other
32,female,White,SomeCollege,suburban,west,34-67 %ile,homemakers,no,other,yes,other
41,male,White,SomeCollege,rural,north central,68-95 %ile,skilled,yes,protestant,yes,democrat
18,female,White,HighSchool,suburban,north central,34-67 %ile,clerical,no,protestant,yes,democrat
48,male,White,HighSchool,suburban,north central,68-95 %ile,professional,no,protestant,yes,democrat
83,female,White,HighSchool,suburban,north central,17-33 %ile,homemakers,no,protestant,yes,other
52,male,White,HighSchool,central,south,68-95 %ile,professional,no,protestant,yes,democrat
36,female,White,HighSchool,central,south,68-95 %ile,clerical,no,protestant,yes,republican
49,male,White,CollegeDegree,suburban,south,68-95 %ile,professional,no,catholic,yes,democrat
84,female,White,GradeSchool,rural,south,0-16 %ile,homemakers,yes,protestant,no,NA
43,female,White,CollegeDegree,suburban,north central,68-95 %ile,skilled,no,jewish,yes,democrat
32,female,Black,HighSchool,central,west,17-33 %ile,homemakers,no,protestant,yes,democrat
71,male,White,SomeCollege,central,south,68-95 %ile,clerical,no,catholic,yes,democrat
44,male,White,CollegeDegree,rural,south,96-100 %ile,professional,no,other,yes,democrat
48,female,White,SomeCollege,rural,south,34-67 %ile,clerical,no,protestant,yes,democrat
42,female,White,SomeCollege,suburban,northeast,34-67 %ile,clerical,no,protestant,yes,democrat
28,female,White,CollegeDegree,suburban,northeast,68-95 %ile,professional,no,protestant,yes,other
31,male,White,SomeCollege,central,north central,34-67 %ile,skilled,yes,catholic,yes,democrat
36,male,White,CollegeDegree,suburban,north central,34-67 %ile,professional,yes,catholic,yes,democrat
34,male,White,SomeCollege,central,west,34-67 %ile,professional,no,protestant,yes,democrat
39,female,NativeAmerican,HighSchool,rural,south,68-95 %ile,skilled,yes,protestant,yes,other
51,male,White,CollegeDegree,suburban,south,68-95 %ile,professional,no,protestant,yes,republican
54,female,White,HighSchool,suburban,northeast,68-95 %ile,professional,no,catholic,yes,democrat
33,female,White,HighSchool,central,north central,34-67 %ile,clerical,no,other,yes,democrat
32,female,White,CollegeDegree,rural,south,0-16 %ile,clerical,no,protestant,no,NA
69,female,White,HighSchool,central,north central,34-67 %ile,skilled,no,protestant,yes,republican
53,female,White,HighSchool,rural,south,34-67 %ile,professional,no,catholic,yes,republican
41,female,Hispanic,HighSchool,suburban,west,0-16 %ile,homemakers,no,catholic,yes,democrat
28,male,White,CollegeDegree,suburban,northeast,68-95 %ile,professional,no,jewish,yes,democrat
72,female,White,HighSchool,rural,north central,17-33 %ile,skilled,no,protestant,yes,NA
23,female,Black,HighSchool,central,north central,0-16 %ile,skilled,no,protestant,yes,democrat
36,female,White,CollegeDegree,rural,north central,34-67 %ile,professional,no,protestant,yes,republican
42,male,White,CollegeDegree,suburban,south,96-100 %ile,professional,no,catholic,yes,democrat
40,female,White,CollegeDegree,suburban,south,96-100 %ile,professional,no,protestant,yes,democrat
84,female,White,HighSchool,rural,south,68-95 %ile,homemakers,no,catholic,yes,NA
34,female,Black,CollegeDegree,central,south,68-95 %ile,clerical,no,protestant,yes,democrat
49,female,White,CollegeDegree,rural,north central,68-95 %ile,homemakers,no,protestant,yes,republican
31,female,Asian,CollegeDegree,central,west,68-95 %ile,professional,no,catholic,yes,republican
31,female,Hispanic,CollegeDegree,suburban,west,34-67 %ile,skilled,no,protestant,yes,republican
35,male,White,CollegeDegree,rural,north central,68-95 %ile,professional,no,protestant,yes,other
37,male,White,HighSchool,rural,north central,34-67 %ile,skilled,no,protestant,no,NA
37,male,White,CollegeDegree,rural,south,68-95 %ile,professional,no,protestant,yes,republican
33,male,White,HighSchool,central,west,34-67 %ile,clerical,yes,catholic,yes,democrat
37,female,White,SomeCollege,suburban,west,34-67 %ile,clerical,no,catholic,yes,democrat
41,female,White,SomeCollege,suburban,west,68-95 %ile,homemakers,no,protestant,yes,democrat
48,female,White,HighSchool,suburban,west,68-95 %ile,clerical,no,protestant,yes,republican
29,male,White,CollegeDegree,suburban,west,68-95 %ile,professional,no,protestant,yes,democrat
36,male,White,CollegeDegree,central,west,34-67 %ile,professional,no,jewish,yes,democrat
60,male,Hispanic,HighSchool,suburban,northeast,68-95 %ile,skilled,yes,other,yes,NA
62,male,White,CollegeDegree,suburban,south,68-95 %ile,professional,no,protestant,yes,republican
37,female,White,HighSchool,suburban,northeast,34-67 %ile,homemakers,no,catholic,yes,democrat
64,female,White,SomeCollege,central,south,34-67 %ile,clerical,no,jewish,yes,democrat
47,female,White,SomeCollege,suburban,south,34-67 %ile,professional,no,catholic,no,NA
40,male,White,CollegeDegree,suburban,south,68-95 %ile,clerical,no,protestant,yes,republican
37,female,White,HighSchool,suburban,west,34-67 %ile,professional,no,protestant,yes,democrat
80,female,White,HighSchool,central,south,0-16 %ile,clerical,no,catholic,yes,republican
26,female,Black,SomeCollege,central,northeast,17-33 %ile,skilled,no,catholic,yes,democrat
28,male,Hispanic,HighSchool,suburban,west,34-67 %ile,farmers,no,protestant,no,NA
40,female,White,CollegeDegree,suburban,south,68-95 %ile,clerical,no,other,yes,democrat
37,male,White,HighSchool,suburban,north central,68-95 %ile,skilled,yes,other,yes,democrat
64,male,White,HighSchool,rural,south,68-95 %ile,professional,no,protestant,yes,republican
26,female,White,SomeCollege,rural,south,34-67 %ile,professional,no,protestant,yes,democrat
30,female,Black,HighSchool,rural,south,0-16 %ile,homemakers,no,protestant,no,NA
70,female,White,HighSchool,suburban,west,34-67 %ile,professional,no,catholic,yes,democrat
35,male,White,HighSchool,suburban,northeast,68-95 %ile,professional,no,protestant,yes,democrat
54,female,White,HighSchool,rural,north central,68-95 %ile,skilled,no,protestant,yes,republican
53,female,White,HighSchool,central,west,34-67 %ile,clerical,yes,protestant,yes,democrat
54,female,White,CollegeDegree,rural,north central,34-67 %ile,professional,yes,catholic,yes,republican
68,female,White,HighSchool,central,north central,34-67 %ile,homemakers,no,protestant,yes,republican
61,male,White,HighSchool,rural,north central,68-95 %ile,professional,no,protestant,yes,democrat
20,male,White,HighSchool,rural,north central,34-67 %ile,skilled,no,catholic,yes,republican
31,female,White,HighSchool,rural,north central,34-67 %ile,skilled,no,protestant,yes,democrat
62,female,White,HighSchool,rural,north central,0-16 %ile,skilled,no,protestant,no,NA
36,male,White,SomeCollege,suburban,west,68-95 %ile,skilled,yes,protestant,yes,republican
47,female,White,CollegeDegree,suburban,west,68-95 %ile,clerical,no,other,yes,democrat
33,female,White,HighSchool,central,west,68-95 %ile,clerical,no,protestant,yes,democrat
44,male,White,CollegeDegree,rural,northeast,34-67 %ile,skilled,no,other,yes,democrat
79,female,White,HighSchool,suburban,north central,17-33 %ile,homemakers,no,protestant,no,NA
53,female,White,CollegeDegree,rural,south,68-95 %ile,skilled,no,protestant,yes,democrat
32,female,White,SomeCollege,central,west,68-95 %ile,clerical,no,protestant,yes,republican
51,female,White,HighSchool,suburban,north central,68-95 %ile,clerical,yes,protestant,yes,other
29,female,White,CollegeDegree,suburban,north central,68-95 %ile,professional,no,protestant,yes,republican
76,male,White,HighSchool,suburban,north central,34-67 %ile,skilled,no,jewish,yes,democrat
36,male,White,CollegeDegree,suburban,northeast,96-100 %ile,professional,no,protestant,yes,republican
19,female,Hispanic,SomeCollege,central,north central,17-33 %ile,farmers,no,catholic,yes,democrat
28,male,White,SomeCollege,central,north central,34-67 %ile,clerical,no,catholic,yes,republican
73,male,White,CollegeDegree,suburban,west,96-100 %ile,professional,yes,protestant,yes,republican
35,female,White,CollegeDegree,central,west,68-95 %ile,professional,no,protestant,yes,republican
49,female,White,SomeCollege,suburban,south,96-100 %ile,clerical,no,protestant,yes,democrat
83,female,White,HighSchool,suburban,north central,68-95 %ile,homemakers,no,protestant,yes,republican
42,female,White,HighSchool,rural,north central,17-33 %ile,skilled,no,protestant,yes,other
38,male,White,HighSchool,central,south,34-67 %ile,skilled,yes,other,yes,democrat
55,female,White,SomeCollege,suburban,northeast,68-95 %ile,professional,no,catholic,yes,democrat
38,male,White,HighSchool,suburban,northeast,17-33 %ile,farmers,no,other,yes,republican
71,male,Hispanic,HighSchool,central,west,17-33 %ile,laborer,no,protestant,yes,democrat
27,female,Hispanic,CollegeDegree,central,west,34-67 %ile,clerical,yes,protestant,yes,republican
29,male,Black,HighSchool,suburban,south,34-67 %ile,clerical,no,protestant,yes,democrat
48,male,White,SomeCollege,suburban,south,68-95 %ile,professional,no,protestant,yes,republican
33,female,White,CollegeDegree,central,south,68-95 %ile,professional,no,protestant,yes,democrat
37,female,White,HighSchool,suburban,north central,0-16 %ile,clerical,no,protestant,no,NA
19,female,Black,HighSchool,suburban,northeast,68-95 %ile,skilled,no,protestant,yes,democrat
47,male,Black,HighSchool,suburban,northeast,34-67 %ile,skilled,no,catholic,yes,NA
36,male,White,SomeCollege,suburban,north central,68-95 %ile,skilled,yes,protestant,yes,republican
31,male,White,HighSchool,rural,northeast,96-100 %ile,skilled,no,other,yes,republican
75,female,White,SomeCollege,rural,south,34-67 %ile,clerical,no,protestant,yes,republican
52,male,White,HighSchool,rural,south,68-95 %ile,skilled,yes,protestant,yes,other
31,female,Black,HighSchool,central,south,17-33 %ile,homemakers,no,protestant,no,NA
45,male,White,CollegeDegree,suburban,south,0-16 %ile,skilled,yes,protestant,yes,democrat
42,male,Hispanic,CollegeDegree,central,north central,34-67 %ile,professional,no,catholic,yes,other
64,female,White,HighSchool,suburban,north central,17-33 %ile,clerical,no,protestant,yes,republican
29,female,Black,CollegeDegree,suburban,northeast,34-67 %ile,clerical,no,protestant,yes,democrat
21,male,Hispanic,HighSchool,suburban,south,68-95 %ile,professional,no,protestant,no,NA
26,male,White,HighSchool,rural,south,34-67 %ile,skilled,yes,protestant,yes,other
65,male,White,SomeCollege,central,west,68-95 %ile,clerical,no,catholic,yes,republican
84,male,White,HighSchool,suburban,northeast,17-33 %ile,professional,no,jewish,yes,democrat
27,male,White,CollegeDegree,rural,south,34-67 %ile,professional,no,protestant,yes,republican
21,female,White,SomeCollege,rural,north central,17-33 %ile,professional,no,other,no,NA
63,female,White,CollegeDegree,suburban,north central,0-16 %ile,professional,no,protestant,yes,republican
46,male,White,CollegeDegree,suburban,north central,68-95 %ile,clerical,no,protestant,yes,republican
35,female,White,SomeCollege,central,south,17-33 %ile,skilled,no,protestant,yes,democrat
36,male,White,CollegeDegree,suburban,south,68-95 %ile,professional,no,catholic,no,NA
61,male,White,CollegeDegree,suburban,south,96-100 %ile,professional,yes,jewish,yes,democrat
59,female,White,GradeSchool,suburban,south,0-16 %ile,skilled,no,protestant,yes,democrat
